"Code","Date","Observed","Suggested","Anomaly (std.devs.)"
"E09","2016-12-17",86.3,86.3,3.79
"E09","2016-12-18",85.7,86.2,-3.71
"E09","2016-12-19",87.1,86.3,3.78
"E09","2016-12-20",84.9,86.1,-3.78
"E09","2016-12-21",77.9,83.7,-4.17
"E09","2016-12-22",72.5,82.7,-3.55
"E09","2016-12-23",78.9,83.7,-4.08
"E09","2016-12-24",86.1,86.2,-3.54
"E09","2016-12-25",86.3,86.2,3.52
"E09","2016-12-26",88.5,86.1,3.74
"E09","2016-12-27",84.3,85.8,-3.54
"E09","2016-12-28",89.6,85.7,3.94
"E09","2016-12-29",79.1,84,-3.59
"E09","2016-12-30",86.3,86.3,3.86
"E09","2016-12-31",86,86.2,-3.59
"E09","2017-10-30",86.3,85.8,3.52
"E09","2017-12-20",85.7,86.2,-3.57
"E09","2017-12-21",85.1,86.1,-3.72
"E09","2017-12-22",88.3,86.3,3.69
"E09","2017-12-23",81.8,85.6,-3.91
"E09","2017-12-24",81.3,85.4,-3.59
"E09","2017-12-25",82.9,86.3,-3.97
"E09","2017-12-26",86.4,86.3,3.81
"E09","2017-12-27",83.6,86.3,-3.64
"E09","2017-12-28",81.4,85.8,-3.76
"E09","2017-12-29",81.2,85.8,-3.93
"E09","2017-12-30",83.2,86.5,-3.82
